X,Y,Lat,Lng
29321.4401858,33396.0384512,1.3182964,103.8451924
24789.5985607,34058.9613864,1.3242915,103.8044714
38369.6587438,32606.2371503,1.311152,103.926495
35482.461658,31582.6078505,1.3018955,103.9005519
29408.1141906,28702.31352,1.275848,103.845971
20538.83414,30788.5135681,1.294714,103.7662768
27759.0965592,38098.2323047,1.3608214,103.8311539
